ticker,issue_type,issue_count,severity,notes
SPOT,missing_ohlcv_bars,26,WARN,Business-day gap approximation; market holidays may be counted conservatively.
SPOT,zero_volume_days,0,OK,
SPOT,abnormal_volume_days,0,OK,Volume above 20x ticker median.
SPOT,split_or_adjustment_anomaly,0,OK,Absolute daily close move above 45%.
SPOT,incomplete_20d_forward_windows,20,WARN,
SPY,missing_ohlcv_bars,26,WARN,Business-day gap approximation; market holidays may be counted conservatively.
SPY,zero_volume_days,0,OK,
SPY,abnormal_volume_days,0,OK,Volume above 20x ticker median.
SPY,split_or_adjustment_anomaly,0,OK,Absolute daily close move above 45%.
SPY,incomplete_20d_forward_windows,20,WARN,
TEAM,missing_ohlcv_bars,26,WARN,Business-day gap approximation; market holidays may be counted conservatively.
TEAM,zero_volume_days,0,OK,
TEAM,abnormal_volume_days,0,OK,Volume above 20x ticker median.
TEAM,split_or_adjustment_anomaly,0,OK,Absolute daily close move above 45%.
TEAM,incomplete_20d_forward_windows,20,WARN,
TER,missing_ohlcv_bars,26,WARN,Business-day gap approximation; market holidays may be counted conservatively.
TER,zero_volume_days,0,OK,
TER,abnormal_volume_days,0,OK,Volume above 20x ticker median.
TER,split_or_adjustment_anomaly,0,OK,Absolute daily close move above 45%.
TER,incomplete_20d_forward_windows,20,WARN,
TLN,missing_ohlcv_bars,26,WARN,Business-day gap approximation; market holidays may be counted conservatively.
TLN,zero_volume_days,0,OK,
TLN,abnormal_volume_days,0,OK,Volume above 20x ticker median.
TLN,split_or_adjustment_anomaly,0,OK,Absolute daily close move above 45%.
TLN,incomplete_20d_forward_windows,20,WARN,
TSLA,missing_ohlcv_bars,26,WARN,Business-day gap approximation; market holidays may be counted conservatively.
TSLA,zero_volume_days,0,OK,
TSLA,abnormal_volume_days,0,OK,Volume above 20x ticker median.
TSLA,split_or_adjustment_anomaly,0,OK,Absolute daily close move above 45%.
TSLA,incomplete_20d_forward_windows,20,WARN,
TSM,missing_ohlcv_bars,26,WARN,Business-day gap approximation; market holidays may be counted conservatively.
TSM,zero_volume_days,0,OK,
TSM,abnormal_volume_days,0,OK,Volume above 20x ticker median.
TSM,split_or_adjustment_anomaly,0,OK,Absolute daily close move above 45%.
TSM,incomplete_20d_forward_windows,20,WARN,
UBER,missing_ohlcv_bars,26,WARN,Business-day gap approximation; market holidays may be counted conservatively.
UBER,zero_volume_days,0,OK,
UBER,abnormal_volume_days,0,OK,Volume above 20x ticker median.
UBER,split_or_adjustment_anomaly,0,OK,Absolute daily close move above 45%.
UBER,incomplete_20d_forward_windows,20,WARN,
UPST,missing_ohlcv_bars,26,WARN,Business-day gap approximation; market holidays may be counted conservatively.
UPST,zero_volume_days,0,OK,
UPST,abnormal_volume_days,0,OK,Volume above 20x ticker median.
UPST,split_or_adjustment_anomaly,1,WARN,Absolute daily close move above 45%.
UPST,incomplete_20d_forward_windows,20,WARN,
VST,missing_ohlcv_bars,26,WARN,Business-day gap approximation; market holidays may be counted conservatively.
VST,zero_volume_days,0,OK,
VST,abnormal_volume_days,0,OK,Volume above 20x ticker median.
VST,split_or_adjustment_anomaly,0,OK,Absolute daily close move above 45%.
VST,incomplete_20d_forward_windows,20,WARN,
XPEV,missing_ohlcv_bars,26,WARN,Business-day gap approximation; market holidays may be counted conservatively.
XPEV,zero_volume_days,0,OK,
XPEV,abnormal_volume_days,0,OK,Volume above 20x ticker median.
XPEV,split_or_adjustment_anomaly,0,OK,Absolute daily close move above 45%.
XPEV,incomplete_20d_forward_windows,20,WARN,
ZS,missing_ohlcv_bars,26,WARN,Business-day gap approximation; market holidays may be counted conservatively.
ZS,zero_volume_days,0,OK,
ZS,abnormal_volume_days,0,OK,Volume above 20x ticker median.
ZS,split_or_adjustment_anomaly,0,OK,Absolute daily close move above 45%.
ZS,incomplete_20d_forward_windows,20,WARN,
ASTS,metadata_rejected_symbol,1,WARN,keyword_excluded:SPAC
BITF,metadata_rejected_symbol,1,WARN,metadata_incomplete
CELH,metadata_rejected_symbol,1,WARN,exchange_excluded
CLSK,metadata_rejected_symbol,1,WARN,exchange_excluded
CRSP,metadata_rejected_symbol,1,WARN,exchange_excluded
IOVA,metadata_rejected_symbol,1,WARN,exchange_excluded
MARA,metadata_rejected_symbol,1,WARN,exchange_excluded
MDB,metadata_rejected_symbol,1,WARN,exchange_excluded
MIRM,metadata_rejected_symbol,1,WARN,exchange_excluded
NNE,metadata_rejected_symbol,1,WARN,exchange_excluded
NTLA,metadata_rejected_symbol,1,WARN,exchange_excluded
RIOT,metadata_rejected_symbol,1,WARN,exchange_excluded
SOUN,metadata_rejected_symbol,1,WARN,exchange_excluded
SQ,metadata_rejected_symbol,1,WARN,metadata_incomplete
SYM,metadata_rejected_symbol,1,WARN,exchange_excluded
TGTX,metadata_rejected_symbol,1,WARN,exchange_excluded
TTD,metadata_rejected_symbol,1,WARN,exchange_excluded
U,metadata_rejected_symbol,1,WARN,keyword_excluded:UNIT
VKTX,metadata_rejected_symbol,1,WARN,exchange_excluded
QQQ,missing_qqq_regime_data,1,WARN,QQQ was not downloaded; QQQ trend labels are UNKNOWN_QQQ_DATA.
